singer,title,film_album,film_or_nonfilm,year,Language,youtube_url,search_query_used,confidence_score,discovery_timestamp,ai_model_detected,ai_channel_verified
Imran Mahmudul,Priyo Re,Priyotoma,Film,2023,Bengali,https://www.youtube.com/watch?v=_IpwAqTC3vo,AI cover Imran Mahmudul Priyo Re,0.55,2025-09-08 02:45:50,Unknown,False
Hridoy Khan,Tomake,Fande Poriya Boga Kande Re,Film,2015,Bengali,https://www.youtube.com/watch?v=G1W_FOXEVvo,AI version Hridoy Khan Tomake,0.65,2025-09-08 02:45:51,Unknown,False
Imran Mahmudul,Bebagi,Antarjal,Film,2023,Bengali,https://www.youtube.com/watch?v=aqMTvoyxHNM,synthetic Imran Mahmudul Bebagi,0.65,2025-09-08 02:45:53,Unknown,False
Bappa Mazumder,Ei Shohore,Runout,Film,2014,Bengali,https://www.youtube.com/watch?v=PWgETZXYXlg,AI cover Bappa Mazumder Ei Shohore,0.55,2025-09-08 02:45:54,Unknown,False
Hridoy Khan,Bhalobese More Jabo,Sweetheart,Film,2016,Bengali,https://www.youtube.com/watch?v=4E93bDxjvjI,synthetic Hridoy Khan Bhalobese More Jabo,0.55,2025-09-08 02:45:57,Unknown,False
Bappa Mazumder,Jodi Mon Kade,Krishnopokkho,Film,2016,Bengali,https://www.youtube.com/watch?v=VSHAIw9_HBc,AI singing Bappa Mazumder Jodi Mon Kade,0.55,2025-09-08 02:45:58,Unknown,True
Hridoy Khan,Tumi Je Amar,Sweetheart,Film,2016,Bengali,https://www.youtube.com/watch?v=MsHPiww_N2Q,AI singing Hridoy Khan Tumi Je Amar,0.6833333333333333,2025-09-08 02:46:00,Unknown,False
Hridoy Khan,Cholo Na,Cholo Na - Single,Non-film,2017,Bengali,https://www.youtube.com/watch?v=NL-VEYYNRM8,AI singing Hridoy Khan Cholo Na,0.55,2025-09-08 02:46:01,Unknown,False
Kona,Jodi,Antarjal,Film,2023,Bengali,https://www.youtube.com/watch?v=msbR5eMxVEc,Kona Jodi AI singing 2023,0.55,2025-09-08 02:46:12,Unknown,True
Hridoy Khan,Bhalobasi,Bhalobasi - Single,Non-film,2018,Bengali,https://www.youtube.com/watch?v=F7S_9kNPBoE,Hridoy Khan Bhalobasi deepfake official,0.55,2025-09-08 02:46:13,Unknown,False
Kona,Amar Tumi,Amar Tumi - Single,Non-film,2024,Bengali,https://www.youtube.com/watch?v=Nk07dKEvE4Q,deepfake Kona Amar Tumi,0.65,2025-09-08 02:46:15,Unknown,False
Hridoy Khan,Onek Kotha,Onek Kotha - Single,Non-film,2019,Bengali,https://www.youtube.com/watch?v=f_TGhvyOdqs,Hridoy Khan Onek Kotha synthetic,0.55,2025-09-08 02:46:23,Unknown,False
Raghab Chatterjee,Bhubanomohini,Bhubanomohini,Non-film,2005,Bengali,https://www.youtube.com/watch?v=NGz-rgk-VV8,Raghab Chatterjee Bhubanomohini AI singing 2005,0.65,2025-09-08 02:46:28,Unknown,False
Somlata Acharyya Chowdhury,Ekta Gaan,Ekta Gaan - Single,Non-film,2016,Bengali,https://www.youtube.com/watch?v=lPp7nr-88Y4,synthetic Somlata Acharyya Chowdhury Ekta Gaan,0.55,2025-09-08 02:46:34,Unknown,False
Hridoy Khan,Megher Chole,Megher Chole - Single,Non-film,2020,Bengali,https://www.youtube.com/watch?v=ngUHaFJmoEQ,synthetic Hridoy Khan Megher Chole,0.55,2025-09-08 02:46:34,Unknown,False
Somlata Acharyya Chowdhury,Aaj Raate,Aaj Raate - Single,Non-film,2017,Bengali,https://www.youtube.com/watch?v=2xCA-JAHZRM,Somlata Acharyya Chowdhury Aaj Raate AI singing,0.55,2025-09-08 02:46:37,Unknown,False
Tahsan Khan,Alo Alo,Kothopokothon,Non-film,2005,Bengali,https://www.youtube.com/watch?v=ClmYgymRjDc,deepfake Tahsan Khan Alo Alo,0.65,2025-09-08 02:46:37,Unknown,False
Tahsan Khan,Irsha,Kothopokothon,Non-film,2005,Bengali,https://www.youtube.com/watch?v=2xzQPHMw2YQ,Tahsan Khan Irsha voice clone Bengali,0.7,2025-09-08 02:46:39,Unknown,False
Hridoy Khan,Abar Keno,Abar Keno - Single,Non-film,2021,Bengali,https://www.youtube.com/watch?v=joHtmMT7bSg,Hridoy Khan Abar Keno AI cover 2021,0.55,2025-09-08 02:46:48,Unknown,False
Raghab Chatterjee,Kar Monjiro Rinijhini Baje,Ebaar Nazrul,Non-film,2012,Bengali,https://www.youtube.com/watch?v=cyERGcQ1W4o,Raghab Chatterjee Kar Monjiro Rinijhini Baje AI singing Bengali,0.55,2025-09-08 02:46:59,Unknown,False
Tahsan Khan,Prottaborton,Prottaborton,Non-film,2007,Bengali,https://www.youtube.com/watch?v=WCCLMLxeBtY,Tahsan Khan Prottaborton voice clone Bengali,0.65,2025-09-08 02:46:59,Unknown,False
Bappa Mazumder,Moner Bhitor,Moner Bhitor - Single,Non-film,2018,Bengali,https://www.youtube.com/watch?v=5v-zTSVkK94,Bappa Mazumder Moner Bhitor synthetic,0.55,2025-09-08 02:47:20,Unknown,False
Tahsan Khan,Megher Pore,Ichchhe,Non-film,2010,Bengali,https://www.youtube.com/watch?v=qcr4JgjMbCg,Tahsan Khan Megher Pore AI singing Bengali,0.6499999999999999,2025-09-08 02:47:20,Unknown,True
Tahsan Khan,Fire Asho,Nei,Non-film,2011,Bengali,https://www.youtube.com/watch?v=ny8-irZehyg,Tahsan Khan Fire Asho AI cover Bengali,0.55,2025-09-08 02:47:22,Unknown,False
Raghab Chatterjee,Amar Ango Hara Sango,Tabe Tai Hok,Film,2012,Bengali,https://www.youtube.com/watch?v=DFRbYdz8hn8,Raghab Chatterjee Amar Ango Hara Sango AI cover Bengali,0.7000000000000001,2025-09-08 02:47:36,Unknown,False
Tahsan Khan,Keno,Uddessho Nei,Non-film,2014,Bengali,https://www.youtube.com/watch?v=4m_xGvwARxs,Tahsan Khan Keno AI cover official,0.8500000000000001,2025-09-08 02:47:40,Unknown,False
Bappa Mazumder,Bondhu,Bondhu - Single,Non-film,2021,Bengali,https://www.youtube.com/watch?v=4lMHOql3-bo,Bappa Mazumder Bondhu AI singing,0.55,2025-09-08 02:47:41,Unknown,False
Tahsan Khan,Chuye Dile Mon (Male Version),Chuye Dile Mon,Film,2015,Bengali,https://www.youtube.com/watch?v=LyQi3OLB_Ek,AI singing Tahsan Khan Chuye Dile Mon (Male Version),0.5700000000000001,2025-09-08 02:48:01,Unknown,False
Surojit Chatterjee,Kanamachhi,Kaal Madhumas,Film,2013,Bengali,https://www.youtube.com/watch?v=ko3GMLmVPDc,Surojit Chatterjee Kanamachhi AI version,0.55,2025-09-08 02:48:12,Unknown,False
Kumar Bishwajit,O Doctor,Premer Smriti,Film,2000,Bengali,https://www.youtube.com/watch?v=EIGNWPTEa0o,Kumar Bishwajit O Doctor AI version,0.55,2025-09-08 02:48:23,Unknown,False
Tahsan Khan,Bhalobasar Maane,Jodi Ekdin,Film,2019,Bengali,https://www.youtube.com/watch?v=596pQ6aJoLI,synthetic Tahsan Khan Bhalobasar Maane,0.55,2025-09-08 02:48:24,Unknown,False
Kumar Bishwajit,Ekta Tor,Shikari,Non-film,2001,Bengali,https://www.youtube.com/watch?v=64xMJPR349U,generated Kumar Bishwajit Ekta Tor,0.6,2025-09-08 02:48:27,Unknown,False
Raghab Chatterjee,Maha Singhason,Paramhansa,Non-film,2015,Bengali,https://www.youtube.com/watch?v=GNMYcljR3Ek,AI version Raghab Chatterjee Maha Singhason,0.55,2025-09-08 02:48:36,Unknown,False
Kumar Bishwajit,Chokher Jole,Shikari,Non-film,2001,Bengali,https://www.youtube.com/watch?v=umAS5cLvkx4,Kumar Bishwajit Chokher Jole AI singing,0.55,2025-09-08 02:48:36,Unknown,False
Kumar Bishwajit,Jodi Boli,Itihas,Film,2002,Bengali,https://www.youtube.com/watch?v=0BmPOTarQc8,Kumar Bishwajit Jodi Boli synthesized,0.65,2025-09-08 02:48:38,Unknown,False
Kumar Bishwajit,Tumi Amar Jibon,Bastob,Film,2003,Bengali,https://www.youtube.com/watch?v=smx6J4nyEf4,Kumar Bishwajit Tumi Amar Jibon AI singing Bengali,0.6166666666666667,2025-09-08 02:48:40,Unknown,False
Monir Khan,Tomar Kono Dosh Nei,Tomar Kono Dosh Nei,Non-film,1996,Bengali,https://www.youtube.com/watch?v=fagIp7cc2Yw,Monir Khan Tomar Kono Dosh Nei synthesized Bengali,0.65,2025-09-08 02:48:42,Unknown,False
Monir Khan,Onjona,Onjona,Non-film,1998,Bengali,https://www.youtube.com/watch?v=cgMB7ZTYxYs,Monir Khan Onjona synthesized official,0.65,2025-09-08 02:48:45,Unknown,False
Monir Khan,Dorodi,Dorodi,Non-film,1999,Bengali,https://www.youtube.com/watch?v=BY5LNY3TWMU,AI cover Monir Khan Dorodi,0.55,2025-09-08 02:48:47,Unknown,False
Tahsan Khan,Shei Tumi Ke,Shei Tumi Ke - Single,Non-film,2020,Bengali,https://www.youtube.com/watch?v=OBVUl0ixK9E,AI singing Tahsan Khan Shei Tumi Ke,0.5833333333333334,2025-09-08 02:48:47,Unknown,False
Monir Khan,Bhalobasar Jala,Bhalobasar Jala,Non-film,2000,Bengali,https://www.youtube.com/watch?v=x8ZYQKrOCEc,voice clone Monir Khan Bhalobasar Jala,0.55,2025-09-08 02:48:49,Unknown,False
Monir Khan,Bhalobeshe Keu Sukhi Noy,Mon Kandere,Non-film,2001,Bengali,https://www.youtube.com/watch?v=HQfhgBiyFJQ,Monir Khan Bhalobeshe Keu Sukhi Noy AI version,0.6000000000000001,2025-09-08 02:48:54,Unknown,False
Kumar Bishwajit,Ami Boro Eka,Ami Boro Eka,Non-film,2005,Bengali,https://www.youtube.com/watch?v=6iBlseVa66Q,Kumar Bishwajit Ami Boro Eka AI cover Bengali,0.55,2025-09-08 02:48:54,Unknown,False
Raghab Chatterjee,Kalpotoru Mule Chalo,Kalpotoru Mule Chalo,Non-film,2018,Bengali,https://www.youtube.com/watch?v=2X3mU2976sA,Raghab Chatterjee Kalpotoru Mule Chalo AI cover official,0.55,2025-09-08 02:48:58,Unknown,False
Monir Khan,Ekbar To Bol,Bipodjonok,Film,2002,Bengali,https://www.youtube.com/watch?v=ip3r7o9_7Gg,Monir Khan Ekbar To Bol AI singing,0.6,2025-09-08 02:49:08,Unknown,True
Kumar Bishwajit,Jare Ghor Dila,Jare Ghor Dila - Single,Non-film,2006,Bengali,https://www.youtube.com/watch?v=-QrN60EydNY,Kumar Bishwajit Jare Ghor Dila synthesized,0.65,2025-09-08 02:49:16,Unknown,False
Raghab Chatterjee,JISHU DAKEN,JISHU DAKEN - Single,Non-film,2020,Bengali,https://www.youtube.com/watch?v=uBoTEIrluj8,Raghab Chatterjee JISHU DAKEN AI singing,0.65,2025-09-08 02:49:22,Unknown,False
Kumar Bishwajit,Tumi Shopno Tumi Shadhona,Swami Strir Wada,Film,2009,Bengali,https://www.youtube.com/watch?v=_m-M21BkASE,Kumar Bishwajit Tumi Shopno Tumi Shadhona AI singing official,0.55,2025-09-08 02:49:33,Unknown,False
Monir Khan,Boro Betha Ei Buke,Keno Tumi Eto Sundori,Non-film,2003,Bengali,https://www.youtube.com/watch?v=1hBqavHjChQ,Monir Khan Boro Betha Ei Buke AI singing official,0.65,2025-09-08 02:49:40,Unknown,False
Monir Khan,Dukho Amar Chiro Shathi,E Bukete Boro Jala,Non-film,2004,Bengali,https://www.youtube.com/watch?v=pvGQi-8rKRk,Monir Khan Dukho Amar Chiro Shathi AI singing official,0.65,2025-09-08 02:49:46,Unknown,True
Iman Chakraborty,Mon,Mon,Non-film,2015,Bengali,https://www.youtube.com/watch?v=xNUErjunJ7s,Iman Chakraborty Mon generated,0.55,2025-09-08 02:49:46,Unknown,False
Tahsan Khan,Tor Jonno,Karnish,Film,2022,Bengali,https://www.youtube.com/watch?v=PI-SUzq1LNU,Tahsan Khan Tor Jonno deepfake 2022,0.65,2025-09-08 02:50:00,Unknown,False
Monir Khan,Nithur Bondhu,Mon Shudhu Tomar Jonno,Non-film,2005,Bengali,https://www.youtube.com/watch?v=TffOG79zPwY,Monir Khan Nithur Bondhu synthesized Bengali,0.55,2025-09-08 02:50:01,Unknown,False
Monir Khan,Tomar Amar Prem,Tomar Amar Prem,Non-film,2006,Bengali,https://www.youtube.com/watch?v=FUO2pXRcFH8,Monir Khan Tomar Amar Prem voice clone,0.6166666666666667,2025-09-08 02:50:03,Unknown,True
Monir Khan,Buker Bhetor,Dujoner E Mon,Non-film,2007,Bengali,https://www.youtube.com/watch?v=SPI96A4wsFY,Monir Khan Buker Bhetor AI version,0.65,2025-09-08 02:50:05,Unknown,True
Kumar Bishwajit,Brishti Amar,Brishti Amar - Single,Non-film,2018,Bengali,https://www.youtube.com/watch?v=UZCsP2uhmdw,Kumar Bishwajit Brishti Amar voice clone Bengali,0.55,2025-09-08 02:50:06,Unknown,False
Monir Khan,Joto Bhalobasha Chilo,Joto Bhalobasha Chilo,Non-film,2008,Bengali,https://www.youtube.com/watch?v=F1z98IvBP8U,Monir Khan Joto Bhalobasha Chilo AI singing,0.5666666666666667,2025-09-08 02:50:07,Unknown,False
Monir Khan,Ami Shopno Dekhi,Shopno Dekhi,Non-film,2009,Bengali,https://www.youtube.com/watch?v=30evug1fLIM,Monir Khan Ami Shopno Dekhi AI cover,0.5666666666666667,2025-09-08 02:50:10,Unknown,False
Tahsan Khan,Boba Tunnel,Boba Tunnel - Single,Non-film,2022,Bengali,https://www.youtube.com/watch?v=sYADj2Wb920,AI singing Tahsan Khan Boba Tunnel,0.65,2025-09-08 02:50:11,Unknown,False
Surojit Chatterjee,Mon Kharap,Mon Kharap - Single,Non-film,2021,Bengali,https://www.youtube.com/watch?v=G65mFn4jqBM,Surojit Chatterjee Mon Kharap generated,0.55,2025-09-08 02:50:32,Unknown,False
Kumar Bishwajit,Tumi Chara,Tumi Chara - Single,Non-film,2024,Bengali,https://www.youtube.com/watch?v=Ctgcxw0_mgQ,Kumar Bishwajit Tumi Chara deepfake official,0.55,2025-09-08 02:50:33,Unknown,False
Kumar Bishwajit,Chokher Dorjay,Chokher Dorjay - Single,Non-film,2024,Bengali,https://www.youtube.com/watch?v=vr17-yZjQK4,Kumar Bishwajit Chokher Dorjay AI singing Bengali,0.55,2025-09-08 02:50:37,Unknown,False
Raghab Chatterjee,Ki Bhalo Gaan Bhore Dile Pran,Ki Bhalo Gaan Bhore Dile Pran - Single,Non-film,2021,Bengali,https://www.youtube.com/watch?v=RdCF69wS4gs,synthesized Raghab Chatterjee Ki Bhalo Gaan Bhore Dile Pran,0.6166666666666667,2025-09-08 02:50:43,Unknown,False
Iman Chakraborty,Aigiri Nandini,Aigiri Nandini - Single,Non-film,2016,Bengali,https://www.youtube.com/watch?v=-t_SgQp1d3g,generated Iman Chakraborty Aigiri Nandini,0.7,2025-09-08 02:50:46,Unknown,False
Monir Khan,Tomar Chokhe Dekhi Ami,Tomar Chokhe Dekhi Ami - Single,Non-film,2011,Bengali,https://www.youtube.com/watch?v=G4CeProMok0,AI cover Monir Khan Tomar Chokhe Dekhi Ami,0.6,2025-09-08 02:50:49,Unknown,True
Tahsan Khan,Neel Pori,Neel Pori - Single,Non-film,2023,Bengali,https://www.youtube.com/watch?v=T7ohjbbs-Ho,generated Tahsan Khan Neel Pori,0.55,2025-09-08 02:50:49,Unknown,False
Monir Khan,Ekta Din Gelo,Leela,Non-film,2012,Bengali,https://www.youtube.com/watch?v=QTK16OZOk64,Monir Khan Ekta Din Gelo AI cover Bengali,0.55,2025-09-08 02:50:51,Unknown,False
Monir Khan,Shudhu Tomari Jonno,Shudhu Tomari Jonno - Single,Non-film,2013,Bengali,https://www.youtube.com/watch?v=ePGlylQCykE,AI version Monir Khan Shudhu Tomari Jonno,0.55,2025-09-08 02:50:55,Unknown,False
Monir Khan,Amar Kopal Tai To Bhalo Na,Valobashar Manush,Non-film,2015,Bengali,https://www.youtube.com/watch?v=hs6YAvi_seg,deepfake Monir Khan Amar Kopal Tai To Bhalo Na,0.65,2025-09-08 02:50:59,Unknown,False
Sabina Yasmin,Ami Rajanigandha Phuler Moto,Rajanigandha,Film,1992,Bengali,https://www.youtube.com/watch?v=1H1CL1d7SnE,generated Sabina Yasmin Ami Rajanigandha Phuler Moto,0.55,2025-09-08 02:51:00,Unknown,False
Iman Chakraborty,Khelna Bati,Posto,Film,2017,Bengali,https://www.youtube.com/watch?v=Qgvav0w0EFU,AI version Iman Chakraborty Khelna Bati,0.55,2025-09-08 02:51:03,Unknown,False
Raghab Chatterjee,Abar Hridoy,Abar Hridoy - Single,Non-film,2022,Bengali,https://www.youtube.com/watch?v=fp5P5oQp2_E,Raghab Chatterjee Abar Hridoy voice clone Bengali,0.65,2025-09-08 02:51:04,Unknown,False
Sabina Yasmin,Bondhu Tin Din,Kkhoma,Film,1992,Bengali,https://www.youtube.com/watch?v=Fdceg-BswVY,Sabina Yasmin Bondhu Tin Din AI singing Bengali,0.5666666666666667,2025-09-08 02:51:10,Unknown,False
Tahsan Khan,Bidaye,Bidaye - Single,Non-film,2024,Bengali,https://www.youtube.com/watch?v=j9886cHkhcE,Tahsan Khan Bidaye AI singing,1.0,2025-09-08 02:51:13,Unknown,False
Surojit Chatterjee,Amar Kotha,Pradhan,Film,2023,Bengali,https://www.youtube.com/watch?v=dbdqdnPl65k,Surojit Chatterjee Amar Kotha AI cover official,0.55,2025-09-08 02:51:16,Unknown,False
Iman Chakraborty,Tor Sathe,Generation Aami,Film,2018,Bengali,https://www.youtube.com/watch?v=3cVMyMbBR9M,Iman Chakraborty Tor Sathe voice clone,0.55,2025-09-08 02:51:31,Unknown,False
Raghab Chatterjee,Eki Labonye,Eki Labonye - Single,Non-film,2023,Bengali,https://www.youtube.com/watch?v=gPgd1uAyh7s,Raghab Chatterjee Eki Labonye AI singing Bengali,0.65,2025-09-08 02:51:32,Unknown,False
Samina Chowdhury,Kichhu Shopno Kichhu Asha,Protishruti,Film,1993,Bengali,https://www.youtube.com/watch?v=P_lDjdThW8w,Samina Chowdhury Kichhu Shopno Kichhu Asha generated,0.55,2025-09-08 02:51:47,Unknown,False
Farida Khanum,Woh Ishq Jo Humse Rooth Gaya,Farida Khanum in Concert,Non-film,1990,Urdu,https://www.youtube.com/watch?v=qq-CXQiQ1EE,Farida Khanum Woh Ishq Jo Humse Rooth Gaya AI cover official,0.6166666666666667,2025-09-08 02:51:55,Unknown,True
Farida Khanum,Dil Jalane Ki Baat,Farida Khanum in Concert,Non-film,1990,Urdu,https://www.youtube.com/watch?v=B0Mx0tPMZQg,AI version Farida Khanum Dil Jalane Ki Baat,0.55,2025-09-08 02:51:57,Unknown,False
Monir Khan,Ki Premer Jala,Ki Premer Jala - Single,Non-film,2021,Bengali,https://www.youtube.com/watch?v=qujPxjHDjUg,Monir Khan Ki Premer Jala deepfake,0.55,2025-09-08 02:51:59,Unknown,False
Sabina Yasmin,Amar Majhe Nei Ekhon Ami,Narir Mon,Film,2000,Bengali,https://www.youtube.com/watch?v=dMgn7WF44Cw,Sabina Yasmin Amar Majhe Nei Ekhon Ami AI singing Bengali,0.67,2025-09-08 02:52:01,Unknown,False
Andrew Kishore,Jiboner Golpo Achhe Baki Olpo,Beder Meye Josna,Film,1990,Bengali,https://www.youtube.com/watch?v=3u5cvbS6QdA,Andrew Kishore Jiboner Golpo Achhe Baki Olpo AI cover official,0.5700000000000001,2025-09-08 02:52:10,Unknown,False
Andrew Kishore,Tumi Mor Jiboner Bhabona,Anondo Osru,Film,1997,Bengali,https://www.youtube.com/watch?v=NRjrOUH5XwI,Andrew Kishore Tumi Mor Jiboner Bhabona synthetic,0.6000000000000001,2025-09-08 02:52:12,Unknown,False
Monir Khan,Aguner e Chita,Aguner e Chita - Single,Non-film,2023,Bengali,https://www.youtube.com/watch?v=21vq8F70oNU,Monir Khan Aguner e Chita AI singing 2023,0.55,2025-09-08 02:52:13,Unknown,False
Andrew Kishore,Ami Tomari Chhilam,Mayer Odhikar,Film,1997,Bengali,https://www.youtube.com/watch?v=mha5VIbgPcQ,AI version Andrew Kishore Ami Tomari Chhilam,0.6166666666666667,2025-09-08 02:52:20,Unknown,False
Samina Chowdhury,Nodir Dukkho Hoy,Swami Strir Wada,Film,2009,Bengali,https://www.youtube.com/watch?v=brN65Ncm608,Samina Chowdhury Nodir Dukkho Hoy AI cover,0.55,2025-09-08 02:52:24,Unknown,False
Andrew Kishore,Baba Bole Gelo,Baba Keno Chakor,Film,1997,Bengali,https://www.youtube.com/watch?v=IesnBd_GI1c,voice clone Andrew Kishore Baba Bole Gelo,0.55,2025-09-08 02:52:26,Unknown,True
Samina Chowdhury,Kobita Porar Prohor,Kobita Porar Prohor,Non-film,2011,Bengali,https://www.youtube.com/watch?v=l0EjQdglpqk,Samina Chowdhury Kobita Porar Prohor AI singing official,0.75,2025-09-08 02:52:26,Unknown,False
Farida Khanum,Mere Humnafas Mere Humnawa,Bazm-E-Ghazal,Non-film,1991,Urdu,https://www.youtube.com/watch?v=wFpK90fPA3A,Farida Khanum Mere Humnafas Mere Humnawa voice clone,0.65,2025-09-08 02:52:28,Unknown,False
Andrew Kishore,Bhalo Achi Bhalo Theko,Tomake Chai,Film,1997,Bengali,https://www.youtube.com/watch?v=puBWoi1VNzY,Andrew Kishore Bhalo Achi Bhalo Theko synthesized,0.65,2025-09-08 02:52:30,Unknown,False
Sabina Yasmin,Ei Mon Chay,Dhawa,Film,2002,Bengali,https://www.youtube.com/watch?v=HL7UjTAQmC8,deepfake Sabina Yasmin Ei Mon Chay,0.8666666666666667,2025-09-08 02:52:32,Unknown,True
Andrew Kishore,Porena Chokher Polok,Moner Majhe Tumi,Film,2002,Bengali,https://www.youtube.com/watch?v=sr_GDFE0VFQ,Andrew Kishore Porena Chokher Polok AI singing,0.65,2025-09-08 02:52:36,Unknown,False
Andrew Kishore,Amar Jibone Tumi,Kokhono Megh Kokhono Brishti,Film,2003,Bengali,https://www.youtube.com/watch?v=3nGlqMmOFoQ,Andrew Kishore Amar Jibone Tumi synthesized,0.6833333333333333,2025-09-08 02:52:39,Unknown,False
Nayyara Noor,Kabhi Hum Khoobsurat Thay,Kabhi Hum Khoobsurat Thay,Non-film,1990,Urdu,https://www.youtube.com/watch?v=-yn5hSjpDXo,voice clone Nayyara Noor Kabhi Hum Khoobsurat Thay,0.55,2025-09-08 02:52:39,Unknown,False
Nayyara Noor,Jale To Jalao,Jale To Jalao,Non-film,1990,Urdu,https://www.youtube.com/watch?v=tWF-3D2NwQ8,AI singing Nayyara Noor Jale To Jalao,0.5833333333333334,2025-09-08 02:52:43,Unknown,False
Nayyara Noor,Hum Ke Thehre Ajnabi,Hum Ke Thehre Ajnabi,Non-film,1990,Urdu,https://www.youtube.com/watch?v=K48i48T25U0,Nayyara Noor Hum Ke Thehre Ajnabi AI singing official,0.6000000000000001,2025-09-08 02:52:45,Unknown,False
Farida Khanum,Ab Na Phir Se,Bazm-E-Ghazal,Non-film,1991,Urdu,https://www.youtube.com/watch?v=v4AuvX-B1ZM,Farida Khanum Ab Na Phir Se AI version,0.6,2025-09-08 02:52:45,Unknown,False
Nayyara Noor,Aye Ishq Hamain Barbad Na Kar,Aye Ishq Hamain Barbad Na Kar,Non-film,1990,Urdu,https://www.youtube.com/watch?v=tmWrOweFHt4,Nayyara Noor Aye Ishq Hamain Barbad Na Kar AI singing,0.6833333333333333,2025-09-08 02:52:48,Unknown,False
Nayyara Noor,Aaj Bazar Main,Nayyara Sings Faiz,Non-film,1991,Urdu,https://www.youtube.com/watch?v=qzmva8xiKeA,Nayyara Noor Aaj Bazar Main AI singing 1991,0.6833333333333333,2025-09-08 02:52:49,Unknown,False
Nayyara Noor,Raat Youn Dil Mein,Nayyara Sings Faiz,Non-film,1991,Urdu,https://www.youtube.com/watch?v=C1YzXI9f4CQ,generated Nayyara Noor Raat Youn Dil Mein,0.6000000000000001,2025-09-08 02:52:53,Unknown,False
Farida Khanum,Tum Aur Faraib Khao,Bazm-E-Ghazal,Non-film,1991,Urdu,https://www.youtube.com/watch?v=2MfTDKVcu-s,Farida Khanum Tum Aur Faraib Khao AI singing Urdu,0.55,2025-09-08 02:52:54,Unknown,False
Sabina Yasmin,Jibon Mane Jontrona,Mayer Haath,Film,2004,Bengali,https://www.youtube.com/watch?v=q7Kt5wbM2rw,Sabina Yasmin Jibon Mane Jontrona deepfake Bengali,0.65,2025-09-08 02:52:58,Unknown,False
Andrew Kishore,Tumi Amar Koto Chena,Dui Bodhu Ek Swami,Film,2003,Bengali,https://www.youtube.com/watch?v=bX5iMdoWSUg,deepfake Andrew Kishore Tumi Amar Koto Chena,0.65,2025-09-08 02:53:00,Unknown,False
Andrew Kishore,Chokher Aral Hole,Hridoyer Kotha,Film,2006,Bengali,https://www.youtube.com/watch?v=DKIX8WzIkVs,Andrew Kishore Chokher Aral Hole AI version,0.5833333333333334,2025-09-08 02:53:01,Unknown,False
Nayyara Noor,Aa Gaeen Phir,Nayyara Sings Faiz,Non-film,1991,Urdu,https://www.youtube.com/watch?v=_vWzpwxVjYc,Nayyara Noor Aa Gaeen Phir AI cover,0.55,2025-09-08 02:53:08,Unknown,False
Nayyara Noor,Tum Mere Paas Raho,Nayyara Sings Faiz,Non-film,1991,Urdu,https://www.youtube.com/watch?v=30LhBcTMZyI,Nayyara Noor Tum Mere Paas Raho AI version,0.75,2025-09-08 02:53:10,Unknown,False
Farida Khanum,Main Ne Pairon Mein Payal,Meri Pasand Vol. 2,Non-film,1992,Urdu,https://www.youtube.com/watch?v=J6KZ7i8mmF8,Farida Khanum Main Ne Pairon Mein Payal AI singing official,0.67,2025-09-08 02:53:15,Unknown,False
Nayyara Noor,Yeh Haath Salamat,Jo Darr Gya Woh Marr Gya,Film,1994,Urdu,https://www.youtube.com/watch?v=CNjnwy50nY8,AI cover Nayyara Noor Yeh Haath Salamat,0.6166666666666667,2025-09-08 02:53:16,Unknown,False
Sabina Yasmin,Bhalobasha Bhalobasha,Hajar Bachhar Dhore,Film,2005,Bengali,https://www.youtube.com/watch?v=EOFTXS4xc4w,synthesized Sabina Yasmin Bhalobasha Bhalobasha,0.65,2025-09-08 02:53:19,Unknown,False
Andrew Kishore,Ekta Chithi,Ekta Chithi,Non-film,2008,Bengali,https://www.youtube.com/watch?v=YoWajIc_jJE,Andrew Kishore Ekta Chithi AI cover official,0.55,2025-09-08 02:53:21,Unknown,False
Sabina Yasmin,Isharai Shish Diye,Bondhu,Film,2005,Bengali,https://www.youtube.com/watch?v=FKlKbNjN34I,AI cover Sabina Yasmin Isharai Shish Diye,0.75,2025-09-08 02:53:24,Unknown,False
Andrew Kishore,Eto Bhalobasha Dio Na,Ebadat,Film,2009,Bengali,https://www.youtube.com/watch?v=7MysMCpRgHk,AI cover Andrew Kishore Eto Bhalobasha Dio Na,0.55,2025-09-08 02:53:26,Unknown,False
Sabina Yasmin,O Sathire,Chachchu,Film,2006,Bengali,https://www.youtube.com/watch?v=WFNqqseg9Oc,AI cover Sabina Yasmin O Sathire,0.55,2025-09-08 02:53:26,Unknown,False
Farida Khanum,Yaad-e-Ghazal,Yaad-e-Ghazal,Non-film,1993,Urdu,https://www.youtube.com/watch?v=akLcPLYLW04,Farida Khanum Yaad-e-Ghazal voice clone,0.55,2025-09-08 02:53:26,Unknown,False
Farida Khanum,Uzr Aane Mein Bhi Hai,Yaad-e-Ghazal,Non-film,1993,Urdu,https://www.youtube.com/watch?v=31Rq9P8bbW4,Farida Khanum Uzr Aane Mein Bhi Hai AI cover official,0.75,2025-09-08 02:53:28,Unknown,False
Samina Chowdhury,Pagol Mon,Pagol Mon,Non-film,2016,Bengali,https://www.youtube.com/watch?v=V6Vv_VxURrc,Samina Chowdhury Pagol Mon AI version,0.55,2025-09-08 02:53:30,Unknown,False
